galname,rah,ram,ras,decsign,decd,decm,decs,glat_orig,semimajor,semiminor,posang,nhcon,fnu_12,fqual_12,fnu_25,fqual_25,fnu_60,fqual_60,fnu_100,fqual_100,fir,fqfir,relunc_12,relunc_25,relunc_60,relunc_100,cc_12,cc_25,cc_60,cc_100,cirr1,cirr2,confuse,pnearh,pnearw,hsdflag,ses1_12,ses1_25,ses1_60,ses1_100,ses2,nsss,sssname,dissss,nongal,idngal,dsngal,nrecs,rat_12_25,err_12_25,rat_25_60,err_25_60,rat_60_100,err_60_100,glon,glat,elon,elat,ra,dec,cra,cdec,ra1950,dec1950,cra1950,cdec1950,ROW_IDX,ROW_NUM
23046+3530,23,4,38.0,+,35,30,21,-22,46,10,57,2,0.25,L,0.46,L,1.14,,2.83,,-13.14,,,,C,C,I,I,A,A,1,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.5435,0,0.4035,0,0.4028,0,100.2087,-22.4453,4.4867,37.6140,346.7523,35.7764,230700.6,+354635,346.1583,35.5058,230438.0,+353021,21,21
23048-4901,23,4,52.0,-,49,1,10,-61,33,7,61,3,0.25,L,0.32,,2.69,,5.27,,-12.81,,,D,C,C,H,B,A,A,0,1,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.7812,0,0.1190,0,0.5104,0,338.8015,-60.5258,325.8393,-39.0854,346.9314,-48.7486,230743.5,-484455,346.2167,-49.0194,230452.0,-490110,22,22
23050+3206,23,5,1.0,+,32,6,21,-26,53,12,58,2,0.25,L,0.25,L,0.57,,2.64,,-13.29,,,,C,C,,,C,A,2,4,0,0,0,0,0,0,2,0,4,null,,null,null,,null,1,1.0000,0,0.4386,0,0.2159,0,98.6989,-25.5541,2.5600,34.5900,346.8541,32.3766,230725.0,+322236,346.2542,32.1058,230501.0,+320621,23,23
23050+4155,23,5,2.8,+,41,55,58,-17,100,21,57,2,0.36,L,0.25,L,0.57,L,1.84,,-13.38,L,,,,D,,N,J,B,6,7,0,0,0,8,0,0,0,0,,null,,null,null,,null,1,1.4400,0,0.4386,0,0.3098,0,103.1105,-16.6279,8.8663,43.1099,346.8440,42.2035,230722.5,+421213,346.2617,41.9328,230502.8,+415558,24,24
23054-0614,23,5,28.5,-,6,14,27,-58,80,19,67,2,0.42,L,0.68,L,0.51,:,1.41,:,-13.47,:,,,D,D,,D,D,C,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.6176,0,1.3333,0,0.3617,0,68.9839,-57.5715,345.7355,-0.3746,347.0163,-5.9699,230803.9,-055812,346.3687,-6.2408,230528.5,-061427,25,25
23057+1246,23,5,44.4,+,12,46,2,-43,65,15,65,2,0.37,L,0.52,L,0.59,,1.17,L,-13.47,L,,,C,,,G,B,D,2,6,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.7115,0,0.8814,0,0.5043,0,87.7182,-42.6685,353.3674,17.0830,347.0611,13.0382,230814.7,+130218,346.4350,12.7672,230544.4,+124602,26,26
23059+0423,23,5,55.4,+,4,23,33,-50,51,12,66,2,0.25,L,0.27,L,0.66,,1.47,:,-13.40,:,,,C,C,,,B,C,0,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.9259,0,0.4091,0,0.4490,0,80.9880,-49.6347,349.9863,9.3808,347.1165,4.6635,230828.0,+043949,346.4808,4.3925,230555.4,+042333,27,27
23060+1256,23,6,2.3,+,12,56,25,-43,37,10,65,2,0.25,L,0.27,L,1.83,,3.46,,-12.99,,,,D,C,,,A,A,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.9259,0,0.1475,0,0.5289,0,87.9257,-42.5594,353.5103,17.2118,347.1355,13.2113,230832.5,+131241,346.5096,12.9403,230602.3,+125625,28,28
23062-3107,23,6,14.1,-,31,7,38,-67,62,19,68,2,0.75,L,0.57,L,0.50,L,1.21,,-13.50,L,,,,C,,,I,C,1,2,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,1.3158,0,1.1400,0,0.4132,0,17.3519,-67.3322,335.7011,-23.2737,347.2374,-30.8560,230857.0,-305122,346.5587,-31.1272,230614.1,-310738,29,29
23062+8628,23,6,15.2,+,86,28,45,24,16,9,2,5,0.25,L,0.25,L,1.05,,2.32,,-13.20,,,,B,D,,J,A,B,9,5,0,0,0,8,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2381,0,0.4526,0,121.3275,24.2172,81.8569,67.1357,346.0923,86.7496,230422.2,+864459,346.5633,86.4792,230615.2,+862845,30,30
23063-7216,23,6,21.4,-,72,16,49,-43,28,9,47,3,1.29,L,0.25,L,1.14,,2.65,,-13.15,,,,C,C,G,,B,B,0,2,0,0,0,0,0,0,2,0,4,null,,null,null,,null,2,5.1600,0,0.2193,0,0.4302,0,313.3814,-42.9948,304.4143,-57.7654,347.4241,-72.0089,230941.8,-720032,346.5892,-72.2803,230621.4,-721649,31,31
23063-6216,23,6,21.6,-,62,16,8,-51,30,10,59,3,0.25,L,0.25,L,0.94,,2.05,,-13.25,,,,B,C,,K,A,B,1,2,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,1.0000,0,0.2660,0,0.4585,0,321.7729,-51.2350,315.7961,-50.2793,347.3494,-61.9976,230923.9,-615951,346.5900,-62.2689,230621.6,-621608,32,32
23069-3641,23,6,54.8,-,36,41,26,-67,29,10,67,4,0.25,L,0.25,L,1.38,,4.35,,-13.00,,,,C,C,,D,B,A,0,1,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.1812,0,0.3172,0,3.2517,-66.5511,333.1821,-28.3564,347.4153,-36.4191,230939.7,-362509,346.7283,-36.6906,230654.8,-364126,33,33
23069-4850,23,6,58.6,-,48,50,50,-61,48,13,61,3,0.25,L,0.25,L,0.52,,1.60,,-13.43,,,,C,C,,J,C,B,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.4808,0,0.3250,0,338.6441,-60.9051,326.3370,-39.1088,347.4557,-48.5758,230949.4,-483433,346.7442,-48.8472,230658.6,-485050,34,34
23069-4341,23,6,59.4,-,43,41,54,-64,31,6,64,3,0.27,:,1.52,,8.55,,15.33,,-12.33,,C,C,C,C,D,A,A,A,0,1,0,0,0,0,1,1,0,0,,null,,null,null,,null,1,0.1776,0,0.1778,0,0.5577,0,347.8372,-63.8019,329.4582,-34.6051,347.4474,-43.4269,230947.4,-432537,346.7475,-43.6983,230659.4,-434154,35,35
23074+0630,23,7,27.1,+,6,30,58,-48,55,10,66,2,0.25,L,0.25,L,0.76,,1.82,,-13.32,,,,C,C,,,B,B,0,5,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,1.0000,0,0.3289,0,0.4176,0,83.3412,-48.1312,351.1908,11.1835,347.4964,6.7876,230959.1,+064715,346.8629,6.5161,230727.1,+063058,36,36
23076+2957,23,7,38.3,+,29,57,7,-28,60,13,58,2,0.25,L,0.25,L,0.62,,2.15,,-13.33,,,,C,C,,I,B,B,0,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.4032,0,0.2884,0,98.2292,-27.7401,1.9577,32.4215,347.5146,30.2234,231003.5,+301324,346.9096,29.9519,230738.3,+295707,37,37
23077+2938,23,7,45.2,+,29,38,33,-28,29,11,58,2,0.25,L,0.25,L,0.88,,2.43,,-13.23,,,,C,C,,N,B,A,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2841,0,0.3621,0,98.1043,-28.0302,1.8161,32.1350,347.5439,29.9140,231010.5,+295450,346.9383,29.6425,230745.2,+293833,38,38
23083-6345,23,8,22.9,-,63,45,33,-50,46,9,55,3,0.25,L,0.25,L,0.51,,0.90,:,-13.55,:,,,C,F,,M,C,F,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.4902,0,0.5667,0,320.0675,-50.1826,314.6291,-51.5957,347.8578,-63.4873,231125.9,-632914,347.0954,-63.7592,230822.9,-634533,39,39
