galname,rah,ram,ras,decsign,decd,decm,decs,glat_orig,semimajor,semiminor,posang,nhcon,fnu_12,fqual_12,fnu_25,fqual_25,fnu_60,fqual_60,fnu_100,fqual_100,fir,fqfir,relunc_12,relunc_25,relunc_60,relunc_100,cc_12,cc_25,cc_60,cc_100,cirr1,cirr2,confuse,pnearh,pnearw,hsdflag,ses1_12,ses1_25,ses1_60,ses1_100,ses2,nsss,sssname,dissss,nongal,idngal,dsngal,nrecs,rat_12_25,err_12_25,rat_25_60,err_25_60,rat_60_100,err_60_100,glon,glat,elon,elat,ra,dec,cra,cdec,ra1950,dec1950,cra1950,cdec1950,ROW_IDX,ROW_NUM
16535-3132,16,53,30.4,-,31,32,38,7,70,9,98,3,0.41,L,0.30,L,1.86,,5.62,L,-12.88,L,,,C,,H,,A,B,4,6,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.3667,0,0.1613,0,0.3310,0,351.7778,7.1579,256.4103,-8.9256,254.1818,-31.6217,165643.6,-313718,253.3767,-31.5439,165330.4,-313238,3068,3068
16537-7258,16,53,44.1,-,72,58,54,-18,22,8,90,5,0.25,L,0.25,L,0.68,,2.47,,-13.27,,,,B,E,I,J,B,A,2,5,8,0,1,8,0,0,1,1,,null,,null,null,,null,1,1.0000,0,0.3676,0,0.2753,0,318.6745,-18.3489,263.2441,-49.9711,254.9518,-73.0575,165948.4,-730327,253.4337,-72.9817,165344.1,-725854,3069,3069
16544+4736,16,54,27.6,+,47,36,10,39,31,8,98,5,0.25,L,0.25,L,0.59,,1.16,,-13.47,,,,B,C,,,B,B,0,3,0,0,0,0,0,1,0,0,,null,,null,null,,null,1,1.0000,0,0.4237,0,0.5086,0,73.5836,38.8092,238.2999,69.2060,253.9634,47.5251,165551.2,+473130,253.6150,47.6028,165427.6,+473610,3070,3070
16545-6008,16,54,35.9,-,60,8,14,-11,33,9,102,3,0.25,L,0.43,L,1.88,,9.37,,-12.75,,,,E,C,M,C,C,A,9,5,0,0,0,8,0,1,1,1,,null,,null,null,,null,1,0.5814,0,0.2287,0,0.2006,0,329.4271,-10.8057,260.5533,-37.2726,254.7577,-60.2130,165901.8,-601247,253.6496,-60.1372,165435.9,-600814,3071,3071
16553+7030,16,55,21.2,+,70,30,51,35,27,10,25,3,0.25,L,0.25,L,1.13,,3.66,,-13.08,,,,B,B,,D,A,A,3,4,0,0,0,0,0,0,3,0,,null,,null,null,,null,1,1.0000,0,0.2212,0,0.3087,0,101.9900,35.0822,139.5866,82.9202,253.7254,70.4364,165454.1,+702611,253.8383,70.5142,165521.2,+703051,3072,3072
16554-8100,16,55,27.1,-,81,0,53,-23,22,8,4,4,0.33,,0.25,L,0.46,L,1.17,:,-13.53,L,C,,,C,D,,D,C,9,6,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.3200,0,0.5435,0,0.3932,0,311.5761,-22.8693,266.0218,-57.8380,256.2120,-81.0867,170450.9,-810512,253.8629,-81.0147,165527.1,-810053,3073,3073
16555-5836,16,55,30.1,-,58,36,51,-10,28,7,101,3,0.25,L,0.25,L,1.97,,4.85,,-12.90,,,,C,C,,E,A,A,4,5,0,0,0,8,0,0,1,0,,null,,null,null,,null,1,1.0000,0,0.1269,0,0.4062,0,330.7267,-9.9697,260.4328,-35.7483,254.9565,-58.6890,165949.5,-584120,253.8754,-58.6142,165530.1,-583651,3074,3074
16557+4048,16,55,47.2,+,40,48,35,38,25,14,81,2,0.25,L,0.25,L,0.59,,1.40,,-13.44,,,,C,C,,L,B,B,0,4,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,1.0000,0,0.4237,0,0.4214,0,64.9175,38.2703,243.5041,62.7413,254.3565,40.7337,165725.6,+404401,253.9467,40.8097,165547.2,+404835,3075,3075
08471+7640,8,47,8.0,+,76,40,29,33,37,9,112,4,0.25,L,0.25,L,0.70,,2.40,,-13.28,,,,C,B,G,L,B,B,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.3571,0,0.2917,0,136.8784,33.2761,106.4430,55.5294,133.2836,76.4866,085308.1,+762912,131.7833,76.6747,084708.0,+764029,3076,3076
08477+6424,8,47,44.4,+,64,25,0,37,88,19,113,2,0.35,L,0.25,L,0.38,,1.24,L,-13.55,L,,,C,,,,D,K,0,4,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,1.4000,0,0.6579,0,0.3065,0,151.1081,37.2247,114.5246,44.4067,133.0027,64.2287,085200.6,+641343,131.9350,64.4167,084744.4,+642500,3077,3077
08477-1933,8,47,45.5,-,19,33,6,15,66,15,108,3,0.29,L,0.25,L,0.52,,1.24,L,-13.49,L,,,C,,,D,D,B,1,7,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.1600,0,0.4808,0,0.4194,0,245.0186,15.0921,141.6985,-35.8648,132.5066,-19.7388,085001.6,-194420,131.9396,-19.5517,084745.5,-193306,3078,3078
08479+2922,8,47,55.1,+,29,22,54,38,57,22,106,2,0.49,L,0.34,L,0.54,L,1.30,,-13.47,L,,,,D,L,,C,C,1,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.4412,0,0.6296,0,0.4154,0,195.6279,37.5481,127.1351,11.0968,132.7355,29.1941,085056.5,+291139,131.9796,29.3817,084755.1,+292254,3079,3079
08479-1623,8,47,58.5,-,16,23,21,17,20,7,111,4,0.25,L,0.49,,2.06,,3.01,,-12.98,,,C,C,C,,B,A,B,0,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.5102,0,0.2379,0,0.6844,0,242.4098,17.0207,140.5226,-32.8544,132.5734,-16.5765,085017.6,-163435,131.9937,-16.3892,084758.5,-162321,3080,3080
08480-0254,8,48,0.1,-,2,54,42,25,32,6,107,3,0.25,L,0.41,,2.50,,4.23,,-12.87,,,D,C,C,I,B,A,A,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.6098,0,0.1640,0,0.5910,0,230.4866,24.6207,136.0231,-19.9887,132.6302,-3.0991,085031.2,-030557,132.0004,-2.9117,084800.1,-025442,3081,3081
08480+7322,8,48,4.2,+,73,22,30,35,80,18,115,2,0.48,L,0.25,L,0.44,,1.24,L,-13.52,L,,,D,,,,D,J,2,7,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.9200,0,0.5682,0,0.3548,0,140.5491,34.5464,109.0849,52.6152,133.3393,73.1863,085321.4,+731111,132.0175,73.3750,084804.2,+732230,3082,3082
08482-3229,8,48,16.3,-,32,29,16,7,56,13,111,3,0.35,L,0.25,L,0.64,,1.33,L,-13.43,L,,,C,,,,B,J,0,6,0,0,1,0,0,0,0,0,,null,,null,null,,null,1,1.4000,0,0.3906,0,0.4812,0,255.4694,7.1919,148.1397,-47.8921,132.5769,-32.6752,085018.5,-324031,132.0679,-32.4878,084816.3,-322916,3083,3083
08483+7340,8,48,21.5,+,73,40,48,34,35,8,112,4,0.25,L,0.25,L,0.90,,4.02,,-13.10,,,,B,B,,I,B,A,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2778,0,0.2239,0,140.1943,34.4572,108.8933,52.8980,133.4239,73.4910,085341.7,+732928,132.0896,73.6800,084821.5,+734048,3084,3084
08489-3420,8,48,56.3,-,34,20,56,6,26,9,113,4,0.25,L,0.25,L,1.17,,5.09,,-12.99,,,,C,C,C,C,B,A,8,4,0,0,0,8,0,0,3,0,4,null,,null,null,,null,1,1.0000,0,0.2137,0,0.2299,0,257.0099,6.1233,149.4741,-49.5377,132.7343,-34.5369,085056.2,-343213,132.2346,-34.3489,084856.3,-342056,3085,3085
08490-0210,8,49,4.1,-,2,10,23,25,54,13,106,2,0.42,L,0.25,L,0.47,,1.05,:,-13.54,:,,,C,D,,,C,B,1,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,2,1.6800,0,0.5319,0,0.4476,0,229.9505,25.2373,136.0723,-19.2049,132.8996,-2.3614,085135.9,-022141,132.2671,-2.1731,084904.1,-021023,3086,3086
08491-0659,8,49,7.6,-,6,59,26,23,36,10,107,3,0.35,,0.25,L,0.40,L,1.27,L,-13.54,L,C,,,,F,N,,K,0,4,0,0,0,0,0,0,0,1,,null,,null,3,6,6,1,1.4000,0,0.6250,0,0.3150,0,234.3942,22.6450,137.5777,-23.8145,132.8968,-7.1790,085135.2,-071044,132.2817,-6.9906,084907.6,-065926,3087,3087
08491+7824,8,49,10.6,+,78,24,46,33,35,7,114,3,0.25,L,0.26,L,1.53,,5.09,,-12.94,,,,C,C,F,B,A,A,0,2,0,0,0,0,0,1,0,0,,null,,null,null,,null,1,0.9615,0,0.1699,0,0.3006,0,134.9230,32.6907,105.1110,57.1066,133.9175,78.2226,085540.2,+781321,132.2942,78.4128,084910.6,+782446,3088,3088
08491-0156,8,49,11.5,-,1,56,52,25,60,15,107,3,0.41,L,0.27,L,0.40,L,1.64,,-13.47,L,,,,C,,,C,C,1,3,0,0,0,0,1,0,0,0,,null,,null,null,,null,1,1.5185,0,0.6750,0,0.2439,0,229.7566,25.3821,136.0360,-18.9801,132.9312,-2.1363,085143.5,-020811,132.2979,-1.9478,084911.5,-015652,3089,3089
08495+3336,8,49,35.2,+,33,36,48,39,35,8,106,3,0.25,L,0.25,L,4.88,,24.70,,-12.33,,,,C,C,D,,C,A,1,1,8,0,0,0,3,0,3,0,5,1,X0849+336,22,null,,null,3,1.0000,0,0.0512,0,0.1976,0,190.4518,38.7616,126.2933,15.2636,133.1726,33.4243,085241.4,+332527,132.3967,33.6133,084935.2,+333648,3090,3090
08496+4236,8,49,39.9,+,42,36,2,40,56,9,105,2,0.27,L,1.00,L,1.21,,2.74,,-13.13,,,,C,C,I,M,A,B,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.2700,0,0.8264,0,0.4416,0,178.9095,39.7843,123.5862,23.8823,133.2439,42.4113,085258.5,+422441,132.4162,42.6006,084939.9,+423602,3091,3091
08497-6956,8,49,45.1,-,69,56,19,-16,20,13,26,3,0.25,L,0.25,L,0.56,,0.70,:,-13.57,:,,,C,C,,F,D,C,0,4,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,1.0000,0,0.4464,0,0.8000,0,285.0143,-16.2089,212.1147,-74.2631,132.5130,-70.1266,085003.1,-700736,132.4379,-69.9386,084945.1,-695619,3092,3092
08503+3919,8,50,23.9,+,39,19,34,40,41,14,106,3,0.25,L,0.36,L,0.43,:,1.59,,-13.47,:,,,C,D,,H,B,C,1,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.6944,0,0.8372,0,0.2704,0,183.1702,39.6914,124.7584,20.7894,133.4064,39.1363,085337.5,+390811,132.5996,39.3261,085023.9,+391934,3093,3093
08507+3520,8,50,47.6,+,35,20,18,39,34,7,106,3,0.25,L,0.30,L,2.14,,4.55,,-12.90,,,,C,C,M,F,A,A,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.8333,0,0.1402,0,0.4703,0,188.3124,39.2863,126.0390,16.9892,133.4826,35.1482,085355.8,+350853,132.6983,35.3383,085047.6,+352018,3094,3094
01188-3622,1,18,48.4,-,36,22,43,-79,51,12,64,2,0.75,L,0.25,L,0.91,,2.48,,-13.22,,,,C,C,G,,B,B,1,3,0,1,0,0,0,0,1,0,,null,,null,null,,null,1,3.0000,0,0.2747,0,0.3669,0,269.7393,-79.0249,1.6881,-40.7026,20.2726,-36.1169,012105.4,-360701,19.7017,-36.3786,011848.4,-362243,3095,3095
01192-1201,1,19,13.5,-,12,1,56,-73,44,10,68,3,0.25,L,0.25,L,0.91,,2.23,,-13.24,,,,C,C,K,I,B,B,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2747,0,0.4081,0,149.2231,-73.0785,14.2108,-18.8488,20.4267,-11.7708,012142.4,-114615,19.8062,-12.0322,011913.5,-120156,3096,3096
01192-1804,1,19,14.0,-,18,4,40,-78,42,11,66,2,0.25,L,0.25,L,0.84,,2.39,,-13.24,,,,D,C,,,B,A,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2976,0,0.3515,0,161.3257,-78.3672,11.5919,-24.3830,20.4180,-17.8163,012140.3,-174859,19.8083,-18.0778,011914.0,-180440,3097,3097
01199+2254,1,19,56.9,+,22,54,36,-39,66,12,67,2,0.48,L,0.25,L,0.97,,1.00,L,-13.35,L,,,C,,,,A,C,0,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.9200,0,0.2577,0,0.9700,0,132.2000,-39.1379,27.8373,13.4109,20.6689,23.1710,012240.5,+231016,19.9871,22.9100,011956.9,+225436,3098,3098
01199+2636,1,19,58.4,+,26,36,26,-35,27,9,65,3,0.25,L,0.25,L,1.21,,1.97,,-13.19,,,,C,C,,,A,B,0,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,2,1.0000,0,0.2066,0,0.6142,0,131.5075,-35.4819,29.3262,16.8174,20.6827,26.8682,012243.9,+265206,19.9933,26.6072,011958.4,+263626,3099,3099
01207-0109,1,20,45.0,-,1,9,54,-63,54,11,69,2,0.25,L,0.32,L,0.67,,1.47,:,-13.40,:,,,C,D,,F,B,C,1,5,0,1,0,0,0,0,0,0,,null,,null,null,,null,1,0.7812,0,0.4776,0,0.4558,0,140.5089,-62.6834,18.8950,-8.9681,20.8264,-0.9042,012318.3,-005415,20.1875,-1.1650,012045.0,-010954,3100,3100
01207-0214,1,20,47.8,-,2,14,19,-64,38,10,69,2,0.26,L,0.63,L,1.70,,2.18,,-13.08,,,,C,D,,D,A,B,1,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.4127,0,0.3706,0,0.7798,0,141.1819,-63.7133,18.4940,-9.9663,20.8362,-1.9779,012320.7,-015840,20.1992,-2.2386,012047.8,-021419,3101,3101
01219+3154,1,21,56.2,+,31,54,22,-30,43,12,64,2,0.25,L,0.25,L,1.44,:,2.84,,-13.08,:,,,D,F,,,A,A,3,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.1736,0,0.5070,0,131.0850,-30.1776,31.9609,21.5156,21.1868,32.1663,012444.8,+320959,20.4842,31.9061,012156.2,+315422,3102,3102
01219-3459,1,21,56.3,-,34,59,15,-80,39,12,66,2,0.25,L,0.51,L,1.46,,3.26,,-13.05,,,,C,C,,E,A,B,1,1,0,0,0,0,0,1,0,0,,null,,null,null,,null,1,0.4902,0,0.3493,0,0.4479,0,262.1969,-79.6553,3.3069,-39.8008,21.0565,-34.7271,012413.6,-344338,20.4846,-34.9875,012156.3,-345915,3103,3103
01223-1150,1,22,23.6,-,11,50,57,-73,41,12,69,2,0.25,L,0.74,L,1.45,,3.65,,-13.03,,,,D,D,,H,A,A,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.3378,0,0.5103,0,0.3973,0,151.3529,-72.5896,15.0399,-18.9864,21.2184,-11.5891,012452.4,-113521,20.5983,-11.8492,012223.6,-115057,3104,3104
01224+0011,1,22,28.4,+,0,11,4,-61,75,13,69,2,0.26,L,0.44,L,0.67,,1.17,:,-13.44,:,,,C,D,,G,C,E,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.5909,0,0.6567,0,0.5726,0,140.6227,-61.2679,19.8126,-7.8806,21.2595,0.4445,012502.3,+002640,20.6183,0.1844,012228.4,+001104,3105,3105
01229-3819,1,22,58.2,-,38,19,41,-77,35,11,64,2,0.25,L,0.48,L,1.08,,3.35,,-13.11,,,,C,C,,B,A,A,0,2,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,0.5208,0,0.4444,0,0.3224,0,272.0950,-76.9642,1.3404,-42.8043,21.3046,-38.0681,012513.1,-380405,20.7425,-38.3281,012258.2,-381941,3106,3106
01232-3831,1,23,14.5,-,38,31,34,-77,41,15,64,2,0.25,L,0.25,L,0.53,,1.59,,-13.43,,,,C,C,,,C,C,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.4717,0,0.3333,0,272.4092,-76.7720,1.2657,-43.0020,21.3717,-38.2663,012529.2,-381559,20.8104,-38.5261,012314.5,-383134,3107,3107
01243+1543,1,24,22.3,+,15,43,37,-46,90,18,68,2,0.25,L,0.26,L,0.43,,1.07,L,-13.56,L,,,D,,,,F,J,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.9615,0,0.6047,0,0.4019,0,135.3054,-46.0283,26.0570,6.3674,21.7625,15.9861,012703.0,+155910,21.0929,15.7269,012422.3,+154337,3108,3108
01244+1431,1,24,29.0,+,14,31,6,-47,59,14,68,2,0.25,L,0.30,L,0.75,,2.10,,-13.29,,,,C,C,,,C,A,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.8333,0,0.4000,0,0.3571,0,135.6941,-47.2074,25.6290,5.2359,21.7881,14.7774,012709.1,+144639,21.1208,14.5183,012429.0,+143106,3109,3109
01254+4807,1,25,28.0,+,48,7,42,-14,31,7,56,3,0.25,L,0.29,L,1.65,,3.33,,-13.02,,,,C,C,M,C,A,B,1,3,0,1,1,0,0,0,0,0,,null,,null,null,,null,1,0.8621,0,0.1758,0,0.4955,0,129.2581,-14.0292,40.5761,35.9070,22.1229,48.3869,012829.5,+482313,21.3667,48.1283,012528.0,+480742,3110,3110
01254+3403,1,25,28.3,+,34,3,2,-28,23,6,60,3,0.25,L,0.48,,3.88,,7.25,,-12.66,,,C,C,C,N,A,A,A,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.5208,0,0.1237,0,0.5352,0,131.5474,-27.9449,33.6264,23.1816,22.0785,34.3091,012818.9,+341833,21.3679,34.0506,012528.3,+340302,3111,3111
01268+4520,1,26,51.4,+,45,20,46,-17,19,11,56,3,0.25,L,0.31,L,0.87,,3.08,,-13.17,,,,C,B,,E,B,A,1,5,0,0,1,0,0,0,2,0,,null,,null,null,,null,2,0.8065,0,0.3563,0,0.2825,0,129.9315,-16.7450,39.3141,33.3148,22.4612,45.6040,012950.7,+453614,21.7142,45.3461,012651.4,+452046,3112,3112
01269-5151,1,26,55.5,-,51,51,22,-65,44,8,55,2,0.25,L,0.25,,1.95,,3.04,,-12.99,,,D,C,F,,C,A,A,1,2,0,0,0,0,0,2,0,0,2,null,,null,null,,null,1,1.0000,0,0.1282,0,0.6414,0,289.3165,-64.5270,350.5186,-54.3432,22.2398,-51.5979,012857.5,-513552,21.7313,-51.8561,012655.5,-515122,3113,3113
01281-0215,1,28,7.1,-,2,15,11,-63,95,30,69,2,0.25,L,0.53,L,0.52,L,1.29,,-13.48,L,,,,C,,F,H,D,1,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.4717,0,1.0192,0,0.4031,0,145.0870,-63.1675,20.2103,-10.6695,22.6663,-1.9956,013039.9,-015944,22.0296,-2.2531,012807.1,-021511,3114,3114
01281-3317,1,28,7.7,-,33,17,37,-80,45,12,66,2,0.25,L,0.25,L,1.18,,2.62,,-13.15,,,,D,C,,,A,B,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2119,0,0.4504,0,250.3224,-79.7128,5.8113,-38.9285,22.6036,-33.0360,013024.9,-330210,22.0321,-33.2936,012807.7,-331737,3115,3115
01291+3256,1,29,11.0,+,32,56,12,-29,40,18,61,3,0.25,L,0.25,L,0.40,L,1.92,,-13.43,L,,,,C,J,,,B,1,4,0,0,0,0,0,0,3,0,4,1,X0129+329,1,null,,null,1,1.0000,0,0.6250,0,0.2083,0,132.6277,-28.9129,33.9122,21.8512,23.0063,33.1936,013201.5,+331137,22.2958,32.9367,012911.0,+325612,3116,3116
01293-2548,1,29,18.6,-,25,48,6,-81,63,14,63,2,0.37,L,0.27,L,1.06,,1.75,,-13.25,,,,C,C,,H,B,A,1,3,0,1,0,0,0,0,0,0,,null,,null,null,,null,1,1.3704,0,0.2547,0,0.6057,0,205.2283,-80.8514,10.2854,-32.3698,22.9167,-25.5446,013140.0,-253241,22.3275,-25.8017,012918.6,-254806,3117,3117
01306+3524,1,30,38.6,+,35,24,42,-26,31,7,58,3,0.25,L,0.46,,1.98,,3.33,,-12.97,,,C,C,C,,B,A,A,1,2,0,0,1,0,0,0,0,0,,null,,null,null,,null,1,0.5435,0,0.2323,0,0.5946,0,132.4657,-26.4236,35.2855,24.0001,23.3793,35.6679,013331.0,+354004,22.6608,35.4117,013038.6,+352442,3118,3118
09042-2748,9,4,13.0,-,27,48,54,13,52,29,117,2,0.26,L,0.54,L,0.40,L,1.83,,-13.44,L,,,,D,,F,H,D,4,6,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,0.4815,0,1.3500,0,0.2186,0,254.0822,12.8344,150.0360,-42.2429,136.5929,-28.0164,090622.3,-280059,136.0542,-27.8150,090413.0,-274854,3119,3119
09054-2325,9,5,27.1,-,23,25,4,16,36,8,110,3,0.26,L,0.15,:,1.69,,5.15,,-12.92,,,D,C,B,K,G,A,A,4,5,0,0,0,0,0,0,1,0,,null,,null,null,,null,2,1.7333,0,0.0888,0,0.3282,0,250.8173,15.9024,148.2093,-38.0636,136.9203,-23.6202,090740.9,-233713,136.3629,-23.4178,090527.1,-232504,3120,3120
09054+2138,9,5,27.6,+,21,38,34,39,19,6,107,3,0.25,L,0.60,L,3.69,,7.46,,-12.67,,,,C,C,C,D,A,A,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.4167,0,0.1626,0,0.4946,0,206.5107,39.2395,133.1579,4.7747,137.0809,21.4401,090819.4,+212624,136.3650,21.6428,090527.6,+213834,3121,3121
09065+5015,9,6,33.9,+,50,15,46,42,51,8,173,3,0.25,L,0.35,L,1.58,,2.94,,-13.05,,,,C,C,D,H,A,B,1,2,0,0,1,0,0,0,0,0,5,null,,null,null,,null,2,0.7143,0,0.2215,0,0.5374,0,168.6024,42.4124,123.9619,32.0690,137.5090,50.0590,091002.2,+500332,136.6413,50.2628,090633.9,+501546,3122,3122
09067+1849,9,6,43.4,+,18,49,29,39,94,33,107,2,0.42,L,0.76,L,0.41,L,0.99,,-13.59,L,,,,D,I,,L,D,1,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.5526,0,1.8537,0,0.4141,0,210.0529,38.5813,134.2586,2.1627,137.3857,18.6210,090932.6,+183716,136.6808,18.8247,090643.4,+184929,3123,3123
09080+7640,9,8,0.9,+,76,40,51,34,24,6,117,4,0.35,,0.65,,6.92,,19.46,,-12.33,,E,C,B,C,D,B,A,A,7,2,0,0,0,0,3,3,0,0,3,null,,null,null,,null,1,0.5385,0,0.0939,0,0.3556,0,136.2554,34.3616,108.2976,56.1305,138.4290,76.4749,091343.0,+762830,137.0038,76.6808,090800.9,+764051,3124,3124
09080+0724,9,8,2.8,+,7,24,38,34,64,11,107,3,0.25,L,0.32,L,0.75,,1.29,,-13.39,,,,C,C,,,B,E,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.7812,0,0.4267,0,0.5814,0,223.1391,34.1477,137.9002,-8.6635,137.6765,7.2058,091042.3,+071221,137.0117,7.4106,090802.8,+072438,3125,3125
04574-1231,4,57,28.5,-,12,31,33,-30,51,18,85,2,0.68,L,0.25,L,0.55,,2.53,L,-13.30,L,,,E,,E,,D,F,9,6,0,0,1,0,0,0,5,3,,null,,null,null,,null,1,2.7200,0,0.4545,0,0.2174,0,211.8357,-30.3383,71.9789,-34.9547,74.9499,-12.4522,045948.0,-122708,74.3688,-12.5258,045728.5,-123133,3126,3126
04577-1837,4,57,42.5,-,18,37,14,-33,50,16,85,3,0.25,L,0.27,L,0.38,,2.34,,-13.38,,,,C,C,,J,D,B,0,4,0,0,0,0,0,0,2,0,4,null,,null,null,,null,1,0.9259,0,0.7105,0,0.1624,0,218.4478,-32.6584,70.9973,-41.0005,74.9774,-18.5471,045954.6,-183249,74.4271,-18.6206,045742.5,-183714,3127,3127
04577-0325,4,57,45.6,-,3,25,29,-26,28,6,83,3,0.25,L,0.25,L,1.70,,4.52,,-12.95,,,,C,C,E,C,A,A,1,3,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,1.0000,0,0.1471,0,0.3761,0,202.6479,-26.1647,73.3754,-25.9329,75.0647,-3.3515,050015.5,-032105,74.4400,-3.4247,045745.6,-032529,3128,3128
04577-1731,4,57,47.7,-,17,31,40,-32,97,27,78,2,0.63,L,0.61,L,0.40,L,1.20,,-13.55,L,,,,D,,,L,D,5,6,0,1,0,0,0,0,0,2,,null,,null,null,,null,1,1.0328,0,1.5250,0,0.3333,0,217.2516,-32.2392,71.2256,-39.9214,75.0047,-17.4544,050001.1,-172716,74.4488,-17.5278,045747.7,-173140,3129,3129
04578+0419,4,57,52.1,+,4,19,19,-22,43,26,84,3,0.26,L,0.25,L,0.40,L,1.19,,-13.55,L,,,,D,,,E,D,3,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0400,0,0.6250,0,0.3361,0,195.3437,-22.2082,74.3686,-18.2410,75.1282,4.3949,050030.8,+042342,74.4671,4.3219,045752.1,+041919,3130,3130
04579-2605,4,57,56.0,-,26,5,56,-35,42,14,85,3,0.25,L,0.25,L,0.54,,3.10,,-13.25,,,,D,D,,,E,B,0,3,0,0,0,0,0,0,3,2,C,1,X0457-260,45,null,,null,2,1.0000,0,0.4630,0,0.1742,0,226.9940,-35.0217,69.4829,-48.4016,74.9925,-26.0256,045958.2,-260132,74.4833,-26.0989,045756.0,-260556,3131,3131
04585-6322,4,58,30.9,-,63,22,3,-37,15,12,34,4,0.25,L,0.27,L,0.87,,1.84,,-13.29,,,,B,D,,D,A,B,1,3,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,0.9259,0,0.3103,0,0.4728,0,273.3583,-36.5757,19.7299,-82.7785,74.7345,-63.2939,045856.3,-631738,74.6288,-63.3675,045830.9,-632203,3132,3132
04585+0729,4,58,35.8,+,7,29,57,-20,31,8,86,3,0.25,L,0.47,,1.60,,3.47,,-13.02,,,F,C,C,,F,A,A,2,3,0,0,0,0,0,1,0,0,,null,,null,null,,null,1,0.5319,0,0.2937,0,0.4611,0,192.5710,-20.3499,74.9234,-15.1033,75.3253,7.5713,050118.1,+073417,74.6492,7.4992,045835.8,+072957,3133,3133
04586+6544,4,58,39.4,+,65,44,54,15,32,8,79,3,0.25,L,0.37,,1.62,,1.59,,-13.14,,,C,C,C,,C,A,B,0,6,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.6757,0,0.2284,0,1.0189,0,145.0900,14.5200,82.1899,42.7615,75.9033,65.8190,050336.8,+654908,74.6642,65.7483,045839.4,+654454,3134,3134
04591-0419,4,59,9.0,-,4,19,51,-26,19,5,81,4,0.25,L,0.69,,4.06,,5.64,,-12.69,,,C,C,C,,A,A,A,3,3,0,0,0,0,0,0,1,0,,null,,null,null,,null,2,0.3623,0,0.1700,0,0.7199,0,203.7195,-26.2964,73.6406,-26.8736,75.4079,-4.2592,050137.9,-041533,74.7875,-4.3308,045909.0,-041951,3135,3135
04592-1614,4,59,17.2,-,16,14,11,-31,46,12,86,3,0.25,L,0.25,L,1.07,,2.86,,-13.15,,,,C,C,I,G,A,B,1,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2336,0,0.3741,0,216.0028,-31.4211,71.9099,-38.6907,75.3841,-16.1648,050132.2,-160953,74.8217,-16.2364,045917.2,-161411,3136,3136
04594-6134,4,59,25.4,-,61,34,30,-37,17,8,93,3,0.27,L,0.25,L,0.48,,0.85,:,-13.58,:,,,B,C,,,E,C,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0800,0,0.5208,0,0.5647,0,271.1381,-36.8101,30.6764,-81.7452,75.0003,-61.5026,050000.1,-613009,74.8558,-61.5750,045925.4,-613430,3137,3137
